20125,Struve 1890,39 BOO,39,,14 49.7, 48 43,BOO,,6.1,6.8,2.9,45,7,77/ 78,F5,1981,9406,b is a sp-bin.  Spectral types F6V+F5V.
20126,Struve 1909,44 BOO,44,,15 03.9, 47 39,BOO,,5.3,6.2,1.2,40,7,78,G0,1982,9494,P=225 yr- a=3.77''-motion direct in highly-incl orbit
20127,,45 BOO,45,,15 07.3, 24 51,BOO,AB,5,10.8,107.4,53,7,153,F0,1909,,
20128,,45AC BOO,45AC,,15 07.3, 24 51,BOO,AC,5,9.9,244.1,41,7,153,F0,1918,,
20129,StruveO 291,BX BOO,BX,,15 00.6, 47 16,BOO,,6.3,8.8,35.6,156,7,78,A0,1867,9477,StruveO 291 rej. A is the Alpha CVn-type var.
20130,Struve 27,DELTA BOO,DELTA,,15 15.5, 33 18,BOO,,3.5,8.7,104.9,78,7,112,K0,1835,9559,STF 27- App. I. A is a sp-bin.
20131,Struve 1877,EPSILON BOO,EPSILON,,14 45.0, 27 04,BOO,AB,2.7,5.1,2.8,339,7,111/ 153,K0,1977,9372,b is a sp-bin.  Y/BG
20132,Struve 26,IOTA BOO,IOTA,,14 16.2, 51 22,BOO,AB,4.9,7.5,38.5,33,2,49,A5,1820,9198,STF 26- App I. A is a sp-bin and Delta Scuti var. Y/W
20133,Struve 1821,KAPPA BOO,KAPPA,,14 13.5, 51 47,BOO,,4.6,6.6,13.4,236,2,49,A5,1973,9173,A is a Delta Scuti var. b is a sp-bin.  W/B
20134,Struve 1938,MU BOO,MU,,15 24.5, 37 20,BOO,BC,7.2,7.8,2,15,7,112,K0,1981,9626,BW/R/R
20135,Struve 1864,PI BOO,PI,,14 40.7, 16 25,BOO,AB,4.9,5.8,5.6,109,14,152/153/197/198,A0,1977,9338,Both components are sp-bin.  W/W
20136,Herschel  2728,RHO BOO,RHO,,14 31.8, 30 22,BOO,,3.8,11.5,42.2,339,7,111,K0,1953,9296,
20137,,SIGMA BOO,SIGMA,,14 34.7, 29 44,BOO,AB,4.5,9.8,237.1,82,7,111,F0,1852,,Possibly var.
